Email,Exam,Exam_num,Exam_Score,Start.Date,HAVING.READ.THE.INFORMATION.PROVIDED..YOU.MUST.DECIDE.WHETHER.OR.NOT.YOU.WISH.TO.PARTICIPATE.IN.THIS.RESEARCH.STUDY..CLICKING.�..I.CONSENT�...SHOWS.YOUR.WILLINGNESS.TO.PARTICIPATE.,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Selected.Choice,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Other..Fill.in.the.blank....Text,Please.explain.your.greatest.concern.regarding.taking.today.s.online.proctored.exam.,How.concerned.are.you.about.the.concern.you.just.wrote.about....Selected.Choice,How.concerned.are.you.about.the.concern.you.just.wrote.about....Other...Text,When.taking.this.exam.remotely.with.online.proctoring..e.g..LockDown.browser.and.webcam...what.percentage.of.your.classmates.do.you.believe.were.cheating....Percent.of.students.cheating,Proctoring.SS,Score.SS,Anxiety.SS,Study.SS,ClassStudy.SS,ST1Q01,ST1Q02,ST1Q03,ST1Q04,ST1Q05,Did_not_study,Stuided_less,Studied_same,Understanding,Less_anxious,Prepared_Notes,No_Notes,Studied_more,External_resources,FinalExam,FinalGrade
147,Exam 1,1,62,2/9/2021 7:58,I CONSENT,,,I am just overall a horrible test taker ,Very concerned,,10,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Raised,Much More,Much less for this exam,-1,1,1,2,-2,0,0,0,0,0,0,0,0,0,57.8,79.02
148,Exam 1,1,74,2/9/2021 8:28,I CONSENT,,,the 15 dollar fee,Slightly concerned,,8,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Raised,Slightly Less,Slightly less for this exam,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,84.4,91.53
149,Exam 1,1,86,2/9/2021 9:58,I CONSENT,Other. Fill in the blank.,Unfair Oppurtunity,"After I had finished the exam, I saw a message where the professor sent mid exam saying we did not have to use the proctoring site due to difficulties. Not only do I feel unfair that some students got to take the exam without the proctor, I also had to spend the $15 that other students did not have to pay using a proctor we did not have to do. With me already having to pay for my education, spending that money when I did not have to, and having infair oppurtunity made it just seem unfair. I am not complaining because I feel like I did good on my exam, but just wanted to state that.",Moderately concerned,,7,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Raised,Same Amount,Slightly less for this exam,-1,1,1,0,-1,0,0,1,0,0,0,0,0,0,82.2,92.78
150,Exam 1,1,64,2/16/2021 1:12,I CONSENT,"Internet connection was too slow,Proctoring software disconnected",,,Very concerned,,30,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Raised,Same Amount,The same amount,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,46.7,70.7
151,Exam 1,1,68,2/9/2021 9:08,I CONSENT,Other. Fill in the blank.,had to purchase the software and did not get a fair warning ,"Half of the class did not have to use a webcam, while the other half, including myself had to",Very concerned,,20,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Much Less,Much less for this exam,-1,1,-1,-2,-2,0,0,0,0,0,0,0,0,0,60,84.98
152,Exam 1,1,72,2/9/2021 8:30,I CONSENT,,,Paying $15 to take the exam.,Moderately concerned,,75,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Much less for this exam,-1,1,-1,-1,-2,0,0,0,0,0,0,0,0,0,71.1,88.13
153,Exam 1,1,58,2/9/2021 8:10,I CONSENT,,,Performing poorly.,Moderately concerned,,15,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-1,1,-1,-1,-1,0,0,0,1,0,1,0,0,0,62.2,83.17
154,Exam 1,1,50,2/9/2021 8:20,I CONSENT,,,I did not have any concerns although I did not do as well as i had hoped,Slightly concerned,,0,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,55.6,79.2
155,Exam 1,1,78,2/9/2021 8:31,I CONSENT,,,I did not know we had to pay for it,Slightly concerned,,15,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-1,1,-1,-1,-1,0,1,0,0,0,0,0,0,0,73.3,89.9
156,Exam 1,1,72,2/9/2021 8:25,I CONSENT,Am not familiar with how the software works,,,Slightly concerned,,20,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,77.8,91.46
157,Exam 1,1,52,2/9/2021 8:08,I CONSENT,,,n/a,Not all at that concerned,,19,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,51.1,76.93
11,Exam 1,1,70,2/9/2021 8:32,I CONSENT,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,64.4,77.52
158,Exam 1,1,42,2/9/2021 8:09,I CONSENT,Other. Fill in the blank.,I had to pay $15,I had to pay $15 to use it,Slightly concerned,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,44.4,75.7
70,Exam 1,1,56,2/10/2021 2:07,I CONSENT,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,44.4,70.39
2,Exam 2,2,71.2,3/16/2021 9:23,I CONSENT,Other. Fill in the blank.,Test did not load upon first attempt,Test did not load upon first attempt after waiting for several minutes. I had to exit and start the process completely over.,Slightly concerned,,0,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Raised,Much More,Much more for this exam,0,2,2,2,2,0,0,0,0,0,0,0,0,0,75.6,86.68
126,Exam 2,2,96.2,3/16/2021 8:36,I CONSENT,,,everything went great!,Not all at that concerned,,0,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much More,Much less for this exam,0,2,-2,2,-2,0,0,0,0,0,0,0,0,0,93.3,96.72
65,Exam 2,2,86.5,3/16/2021 8:09,I CONSENT,,,None. ,Not all at that concerned,,17,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much More,Slightly more for this exam,0,2,-2,2,1,0,0,0,1,0,1,0,1,0,68.9,87.66
159,Exam 2,2,71.2,3/16/2021 8:03,I CONSENT,,,"My greatest concern was that my audio was going to be messed up like last time. Also, another concern was waking up on time to take the exam.",Slightly concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,0,2,-2,-1,-1,0,1,0,0,0,0,0,0,0,60,74.19
160,Exam 2,2,65.4,3/16/2021 8:20,I CONSENT,,,I wouldn't finish in time.,Moderately concerned,,NA,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,Slightly more for this exam,0,2,-2,1,1,0,0,0,0,0,1,0,0,0,40,74.12
64,Exam 2,2,94.2,3/16/2021 8:00,I CONSENT,,,none,Not all at that concerned,,5,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,0,2,-2,0,0,0,0,0,0,0,1,0,0,0,80,92.24
64,Exam 2,2,94.2,3/16/2021 7:58,I CONSENT,,,none,Not all at that concerned,,5,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,0,2,-2,0,0,0,0,0,0,0,1,0,0,0,80,92.24
60,Exam 2,2,67.3,3/16/2021 8:00,I CONSENT,,,I have a painting in the background that sometimes gets flagged for being a person in the room.,Not all at that concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,0,2,-2,0,0,0,0,1,0,0,0,0,0,0,57.8,80.08
130,Exam 2,2,86.5,3/16/2021 8:02,I CONSENT,,,no concerns,Not all at that concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,0,2,-2,0,0,0,0,0,0,0,1,0,0,0,64.4,86.81
98,Exam 2,2,84.6,3/16/2021 9:07,I CONSENT,,,My wifi going out,Slightly concerned,,5,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,0,2,-2,0,0,0,0,0,0,1,0,0,0,0,64.4,86.54
161,Exam 2,2,75,3/16/2021 8:52,I CONSENT,,,I had no concerns,Not all at that concerned,,5,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,No Effect,Much Less,Much less for this exam,0,2,0,-2,-2,0,1,0,0,0,0,0,0,0,68.9,85.45
148,Exam 2,2,86.5,3/16/2021 8:28,I CONSENT,,,None,Not all at that concerned,,8,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,No Effect,Slightly Less,Slightly less for this exam,0,2,0,-1,-1,0,0,0,0,0,0,0,0,0,84.4,91.53
105,Exam 2,2,80.8,3/16/2021 8:07,I CONSENT,,,Making sure my room was well-lit enough.,Not all at that concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,No Effect,Same Amount,The same amount,0,2,0,0,0,0,0,0,0,0,0,0,0,0,53.3,81.94
162,Exam 2,2,84.6,3/17/2021 0:05,I CONSENT,,,,Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Raised,Same Amount,The same amount,0,2,1,0,0,0,0,0,0,0,0,0,0,0,40,77.82
151,Exam 2,2,88.5,3/16/2021 8:55,I CONSENT,,,It went much smoother than last time. ,Not all at that concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Much less for this exam,0,2,-1,-1,-2,0,0,0,1,0,0,0,0,0,60,84.98
123,Exam 2,2,88.5,3/16/2021 7:28,I CONSENT,,,"Honestly, I thought today's exam went great! I had no problems at all. ",Not all at that concerned,,7,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Much less for this exam,0,2,-1,-1,-2,0,0,0,1,0,0,0,0,0,91.1,94.51
11,Exam 2,2,71.2,3/16/2021 8:22,I CONSENT,,,none,Not all at that concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,2,-1,-1,-1,0,0,0,1,0,0,0,0,0,64.4,77.52
141,Exam 2,2,75,3/16/2021 8:07,I CONSENT,,,That the weather would cut out my wifi.,Slightly concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,2,-1,-1,-1,0,0,0,0,0,1,0,0,0,75.6,87.06
141,Exam 2,2,75,3/16/2021 8:11,I CONSENT,,,The weather would cut out my wifi,Slightly concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,2,-1,-1,-1,0,1,0,0,1,0,0,0,0,75.6,87.06
34,Exam 2,2,84.6,3/16/2021 9:02,I CONSENT,,,,Not all at that concerned,,5,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,2,-1,-1,-1,0,0,0,0,1,1,0,0,0,77.8,90.54
163,Exam 2,2,84.6,3/16/2021 8:06,I CONSENT,,,My concern is usually will my noisy neighbors make the system shut down.,Slightly concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Much less for this exam,0,2,-1,0,-2,0,0,0,0,0,1,0,0,0,57.8,84.14
164,Exam 2,2,55.8,3/16/2021 9:23,I CONSENT,"Proctoring software disconnected,Other. Fill in the blank.",Test froze,My computer froze for 10 plus minutes. Having to take a test is enough stress but technical difficulties on top of that stress is distracting.,Very concerned,,1,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,0,2,-1,0,-1,0,0,0,0,0,1,0,0,0,33.3,70.44
149,Exam 2,2,94.2,3/16/2021 9:34,I CONSENT,,,"It went pretty good for the most part, just the worrying that I am going to have problems with the lockdown browser. Luckily I did not have any problems this time.",Slightly concerned,,4,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,0,2,-1,0,-1,0,0,0,0,1,0,0,0,0,82.2,92.78
68,Exam 2,2,82.7,3/16/2021 8:30,I CONSENT,,,I had no concern taking the exam today.,Not all at that concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,0,2,-1,0,-1,0,0,0,0,0,1,0,0,0,82.2,89.21
131,Exam 2,2,76.9,3/16/2021 8:22,I CONSENT,,,At first it was a little slow like getting into my test. I had to exit out of the lockdown browser and had to redo all the questions again but then it finally let me in.,Slightly concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,60,80.94
75,Exam 2,2,51.9,3/16/2021 8:12,I CONSENT,,,Internet was a bit slow.,Slightly concerned,,1,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,No Effect,Slightly Less,Much less for this exam,0,0,0,-1,-2,0,0,1,0,0,0,0,0,0,55.6,80.23
74,Exam 2,2,65.4,3/18/2021 0:02,I CONSENT,,,none.,Not all at that concerned,,1,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,No Effect,Slightly Less,Slightly less for this exam,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,42.2,68.63
147,Exam 2,2,63.5,3/16/2021 8:36,I CONSENT,,,,,,9,Had no impact on difficulty for other students to cheat,Slightly decreased my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,57.8,79.02
165,Exam 2,2,44.2,3/16/2021 10:57,I CONSENT,,,did i have enough notes ,Very concerned,,50,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Raised,Much Less,Much less for this exam,0,1,2,-2,-2,0,1,0,0,0,0,0,0,0,53.3,75.17
14,Exam 2,2,82.7,3/16/2021 7:51,I CONSENT,,,Todays test went very smooth and I had no concerns,Not all at that concerned,,0,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Raised,Slightly Less,Much less for this exam,0,1,2,-1,-2,0,0,0,0,0,1,0,0,0,35.6,71.61
166,Exam 2,2,73.1,3/16/2021 7:39,I CONSENT,,,none,Not all at that concerned,,5,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Raised,Slightly Less,Slightly less for this exam,0,1,2,-1,-1,0,0,0,0,0,1,0,0,0,60,83.23
30,Exam 2,2,90.4,3/16/2021 8:11,I CONSENT,Internet connection was too slow,,,Not all at that concerned,,30,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,0,1,-2,-1,-1,0,0,0,0,0,1,0,0,0,80,91.76
120,Exam 2,2,90.4,3/16/2021 7:40,I CONSENT,,,Concerned about getting flagged for notes since we were allowed to have them but the software says we arent,Moderately concerned,,4,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,0,1,-2,-1,-1,0,0,0,1,0,1,0,0,0,80,90.65
167,Exam 2,2,42.3,3/16/2021 8:30,I CONSENT,"Internet connection was too slow,Video could not detect my face,Proctoring software disconnected",,,,,5,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,0,1,-2,0,-1,0,0,0,0,0,0,0,0,0,57.8,66.28
168,Exam 2,2,73.1,3/16/2021 14:20,I CONSENT,Other. Fill in the blank.,I had zero internet connection in the morning when trying to take the test but took it later and it seemed to work. ,When I woke up my internet was slow and I already have TONS of testing anxiety but I emailed Emily and she answered right away so it ended up being all okay. I just needed to breathe. ,Very concerned,,6,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,The same amount,0,1,-2,0,0,0,0,0,1,0,1,0,0,0,48.9,80.37
9,Exam 2,2,57.7,3/16/2021 8:06,I CONSENT,,,I had no concerns.,Not all at that concerned,,28,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,The same amount,0,1,-2,0,0,0,0,1,0,0,1,0,0,0,51.1,76.76
169,Exam 2,2,71.2,3/16/2021 8:37,I CONSENT,,,,Not all at that concerned,,10,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,No Effect,Slightly Less,Slightly less for this exam,0,1,0,-1,-1,0,0,0,0,1,0,0,0,0,44.4,78.65
170,Exam 2,2,76.9,3/16/2021 8:07,I CONSENT,,,There are none ,Not all at that concerned,,0,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,Slightly less for this exam,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,51.1,78.97
171,Exam 2,2,63.5,3/16/2021 9:01,I CONSENT,"Internet connection was too slow,Am not familiar with how the software works",,mainly just connection errors,Slightly concerned,,9,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Raised,Slightly Less,NA,0,1,1,-1,NA,0,0,0,0,0,0,0,0,0,64.4,76.22
134,Exam 2,2,53.8,3/16/2021 7:56,I CONSENT,,,n/a,Not all at that concerned,,40,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Raised,Slightly Less,Slightly less for this exam,0,1,1,-1,-1,0,1,0,0,0,0,0,0,0,46.7,74.55
66,Exam 2,2,53.8,3/16/2021 9:07,I CONSENT,,,Just getting it started. The software is difficult sometimes,Very concerned,,0,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Raised,Slightly Less,The same amount,0,1,1,-1,0,0,0,0,0,1,0,0,0,0,46.7,73.39
41,Exam 2,2,90.4,3/16/2021 8:35,I CONSENT,Other. Fill in the blank.,exam would not load through webcam check,"Besides some technical difficulties, I was quite confident about the exam.",Not all at that concerned,,11,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Much less for this exam,0,1,-1,-1,-2,0,0,1,0,0,0,0,0,0,82.2,92.81
28,Exam 2,2,71.2,3/16/2021 9:17,I CONSENT,,,"The exam says it is open until Thursday at 8am, but it was not clarified whether or not we could wait until sometime before then to take it. I did not have all of my notes ready for this exam and when every one in the Groupme said the exam had to be done right now, I scrambled to take the exam with what time I had left. I know for a fact that I could have made much higher than a 37/52 had I been able to take the exam later today.",Other,Just want clarity for the next exam.,5,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Much less for this exam,0,1,-1,-1,-2,0,1,0,0,0,0,0,0,0,57.8,81.16
39,Exam 2,2,76.9,3/16/2021 8:35,I CONSENT,Internet connection was too slow,,My internet connection was slow and getting the browser to start took a long time. I was worried I was not going to be able to have enough time to finish my exam because of this. ,Very concerned,,NA,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Much less for this exam,0,1,-1,-1,-2,0,1,0,0,0,0,0,0,0,64.4,81.07
42,Exam 2,2,76.9,3/16/2021 8:32,I CONSENT,,,,Not all at that concerned,,5,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,71.1,84.91
22,Exam 2,2,48.1,3/16/2021 8:22,I CONSENT,Other. Fill in the blank.,"Lock down would not connect to the test. Message said ""Connecting to Media Server for 20 minutes.","There were issues from Lockdown Browser when trying to connect to the exam. I had to exit lockdown and call Auburn OIT to try to find a solution. After 20 minutes of trouble shooting, I had under an hour to complete the test before having to go to my next class.",Very concerned,,5,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,48.9,76.4
15,Exam 2,2,53.8,3/16/2021 7:47,I CONSENT,,,Information asked on the test was deeper level than what is taught in class.,Moderately concerned,,10,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly More,Slightly less for this exam,0,1,-1,1,-1,0,0,0,0,0,0,0,0,0,42.2,72.33
143,Exam 2,2,32.7,3/16/2021 9:19,I CONSENT,Internet connection was too slow,,,Slightly concerned,,41,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly More,Slightly less for this exam,0,1,-1,1,-1,0,0,0,0,0,0,0,0,0,40,60.55
172,Exam 2,2,61.5,3/18/2021 3:59,I CONSENT,"Internet connection was too slow,Proctoring software disconnected",,That I was going to disconnect.,Slightly concerned,,20,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,0,1,-1,0,-1,0,0,0,0,1,0,0,0,0,44.4,74.18
155,Exam 2,2,92.3,3/16/2021 7:58,I CONSENT,,,I do not have any concerns,Not all at that concerned,,5,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,73.3,89.9
173,Exam 2,2,86.5,3/16/2021 8:18,I CONSENT,,,None,Not all at that concerned,,30,Made it much easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much Less,Much less for this exam,2,2,-2,-2,-2,0,0,0,1,0,0,0,0,0,68.9,87.86
23,Exam 2,2,84.6,3/16/2021 8:35,I CONSENT,,,N/A,Not all at that concerned,,5,Made it much easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,2,2,-2,-1,-1,0,0,0,0,0,1,0,0,0,55.6,76.05
94,Exam 2,2,84.6,3/16/2021 7:54,I CONSENT,,,I was concerned that the bad weather might affect my internet.,Slightly concerned,,30,Made it much easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,Much less for this exam,2,2,-2,1,-2,0,0,0,0,0,1,0,0,0,75.6,89.59
31,Exam 2,2,61.5,3/16/2021 8:10,I CONSENT,,,none,Not all at that concerned,,15,Made it much easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,The same amount,2,2,-2,1,0,0,0,0,0,0,1,0,0,0,53.3,72.63
27,Exam 2,2,75,3/16/2021 7:55,I CONSENT,,,no concerns :-),,,10,Made it much easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly More,Much less for this exam,2,2,-1,1,-2,0,0,0,0,0,1,0,1,0,68.9,85.96
51,Exam 2,2,90.4,3/16/2021 8:50,I CONSENT,,,Internet failure,Moderately concerned,,30,Made it much easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,2,1,-2,0,-1,0,0,0,1,0,0,0,0,0,88.9,94.93
174,Exam 2,2,46.2,3/16/2021 8:09,I CONSENT,Internet connection was too slow,,,Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Greatly decreased my exam score,Slightly Reduced,Much More,Slightly more for this exam,-2,-2,-1,2,1,0,0,0,0,0,0,0,0,0,60,73.19
119,Exam 2,2,61.5,3/16/2021 8:23,I CONSENT,"Internet connection was too slow,Proctoring software disconnected",,It takes forever,Moderately concerned,,8,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Raised,Slightly More,The same amount,-2,2,2,1,0,0,0,0,0,0,0,0,0,0,55.6,74.4
175,Exam 2,2,75,3/16/2021 8:15,I CONSENT,,,I have no concerns,Not all at that concerned,,30,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much Less,Much less for this exam,-2,2,-2,-2,-2,0,1,0,0,0,0,0,0,0,66.7,83.84
76,Exam 2,2,65.4,3/16/2021 18:58,I CONSENT,Other. Fill in the blank.,I received an error code,Not taking the exam on time.,Slightly concerned,,10,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much Less,Much less for this exam,-2,2,-2,-2,-2,0,0,0,0,0,0,0,0,0,48.9,75.74
72,Exam 2,2,86.5,3/16/2021 8:04,I CONSENT,,,"My greatest concern was that my cat was in the background meowing and clawing at my door and I didn't want to get up and get her. I was also worried lockdown would flag me for using my notes, even though we were allowed to use them. ",Slightly concerned,,3,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Much less for this exam,-2,2,-2,-1,-2,0,0,0,1,0,1,0,0,0,57.8,83.73
56,Exam 2,2,92.3,3/16/2021 7:55,I CONSENT,,,,,,NA,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-2,2,-2,-1,-1,0,0,0,0,0,1,0,0,0,80,91.23
128,Exam 2,2,90.4,3/16/2021 7:48,I CONSENT,,,"While I was taking the test in a study room in my dorm, a janitor walked in said ""sorry"" and left.",Not all at that concerned,,5,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-2,2,-2,-1,-1,0,0,0,1,0,0,0,0,0,86.7,93.77
53,Exam 2,2,88.5,3/16/2021 8:43,I CONSENT,,,none,Not all at that concerned,,0,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,-2,2,-2,0,0,0,1,0,0,0,0,0,0,0,73.3,88.53
129,Exam 2,2,82.7,3/16/2021 8:28,I CONSENT,,,None,Not all at that concerned,,10,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,-2,2,-2,0,0,0,0,0,0,0,0,0,0,0,66.7,81.57
46,Exam 2,2,76.9,3/16/2021 8:20,I CONSENT,"Internet connection was too slow,Proctoring software disconnected,Other. Fill in the blank.",screen would not load,I didn't have sufficient time to take the test,Slightly concerned,,NA,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Raised,Same Amount,The same amount,-2,2,1,0,0,0,0,1,0,0,0,0,0,0,33.3,72.7
122,Exam 2,2,57.7,3/16/2021 7:25,I CONSENT,,,Waking up early,Slightly concerned,,9,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Much Less,Much less for this exam,-2,2,-1,-2,-2,0,0,0,0,0,0,0,0,0,66.7,84.23
67,Exam 2,2,84.6,3/16/2021 8:59,I CONSENT,,,I like writing notes and making marks on my notes when taking my test so I was writing during it. ,Slightly concerned,,10,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-2,2,-1,-1,-1,0,0,0,0,0,1,0,0,0,40,77.92
139,Exam 2,2,71.2,3/16/2021 9:15,I CONSENT,,,My alarm went off that goes off at 9am everyday and i had to shut it off but that’s it.,Slightly concerned,,NA,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-2,2,-1,0,-1,0,0,0,0,1,0,0,0,0,66.7,87.58
58,Exam 2,2,71.2,3/16/2021 8:10,I CONSENT,,,The questions,Slightly concerned,,0,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-2,2,-1,0,-1,0,0,1,0,0,0,0,0,0,55.6,81.18
176,Exam 2,2,32.7,3/16/2021 8:11,I CONSENT,Internet connection was too slow,,"It's weird that I know I'm being videod, but I dont know who is watching it and it makes me uncomfortable. ",Slightly concerned,,NA,Made it much more difficult for other students to cheat,Had no effect on my exam score,Greatly Reduced,Much Less,The same amount,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,0,60,60.18
